#Organism/Name,Strain,CladeID,BioSample,BioProject,Group,SubGroup,Assembly,Size (Mb),GC%,Replicons,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Level,RefSeq FTP,GenBank FTP
"Yersinia pestis D106004","D106004",19684,SAMN02603871 ,PRJNA36507,"Proteobacteria","Gammaproteobacteria",GCA_000022805.1 ,4.81292,47.6037,chromosome:NC_017154.1/CP001585.1; plasmid pCD1:NC_017153.1/CP001586.1; plasmid pMT1:NC_017155.1/CP001587.1; plasmid pPCY1:NC_017156.1/CP001588.1,-,4,4468,4196,2009/11/04,2015/08/18,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000022805.1_ASM2280v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000022805.1_ASM2280v1
"Campylobacter jejuni subsp. jejuni 81-176","81-176",19270,SAMN02472139 ,PRJNA17341,"Proteobacteria","delta/epsilon subdivisions",GCA_000168755.1 ,1.61617,30.6,chromosome:NZ_AASL01000001.1/AASL01000001.1,AASL01,1,1669,1449,2006/07/20,2015/08/06,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000168755.1_ASM16875v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000168755.1_ASM16875v1
"Salmonella enterica subsp. enterica serovar Newport str. SL254","SL254",19669,SAMN02604062 ,PRJNA18747,"Proteobacteria","Gammaproteobacteria",GCA_000016045.1 ,5.00772,52.2145,chromosome:NC_011080.1/CP001113.1; plasmid pSL254_3:NC_011079.1/CP001112.1; plasmid pSN254:NC_009140.1/CP000604.1,-,3,4875,4725,2008/07/24,2015/08/12,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000016045.1_ASM1604v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000016045.1_ASM1604v1
"Staphylococcus aureus subsp. aureus MW2","MW2",19988,-,PRJNA306,"Firmicutes","Bacilli",GCA_000011265.1 ,2.82046,32.8,chromosome:NC_003923.1/BA000033.2,-,1,2846,2740,2002/05/31,2015/07/30,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000011265.1_ASM1126v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000011265.1_ASM1126v1
"Staphylococcus aureus subsp. aureus MRSA252","MRSA252",19988,SAMEA1705922 ,PRJNA265,"Firmicutes","Bacilli",GCA_000011505.1 ,2.90262,32.8,chromosome:NC_002952.2/BX571856.1,-,1,2927,2781,2001/11/06,2015/07/30,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000011505.1_ASM1150v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000011505.1_ASM1150v1
"Salmonella enterica subsp. enterica serovar Paratyphi C str. RKS4594","RKS4594",19669,SAMN02603245 ,PRJNA20993,"Proteobacteria","Gammaproteobacteria",GCA_000018385.1 ,4.88849,52.2068,chromosome:NC_012125.1/CP000857.1; plasmid pSPCV:NC_012124.1/CP000858.1,-,2,4764,4476,2009/03/03,2015/08/12,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000018385.1_ASM1838v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000018385.1_ASM1838v1
"Campylobacter jejuni subsp. jejuni CG8421","CG8421",19270,SAMN02470701 ,PRJNA21037,"Proteobacteria","delta/epsilon subdivisions",GCA_000171795.2 ,1.63603,30.5,chromosome:NZ_CP005388.1/CP005388.1,-,1,1729,1609,2014/05/01,2015/08/16,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000171795.2_ASM17179v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000171795.2_ASM17179v2
"Yersinia pestis D182038","D182038",19684,SAMN02603872 ,PRJNA36545,"Proteobacteria","Gammaproteobacteria",GCA_000022825.1 ,4.80226,47.6053,chromosome:NC_017160.1/CP001589.1; plasmid pCD1:NC_017157.1/CP001590.1; plasmid pMT1:NC_017158.1/CP001591.1; plasmid pPCP1:NC_017159.1/CP001592.1,-,4,4477,4129,2009/11/04,2015/08/18,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000022825.1_ASM2282v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000022825.1_ASM2282v1
"Pseudomonas fluorescens","LBUM223",21655,SAMN03398829 ,PRJNA277915,"Proteobacteria","Gammaproteobacteria",GCA_000968415.1 ,6.6942,59.4,chromosome:NZ_CP011117.1/CP011117.1,-,1,6037,5838,2015/04/02,2015/08/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000968415.1_ASM96841v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000968415.1_ASM96841v1
"Xanthomonas campestris pv. campestris str. CN14","CN14",19490,SAMN02469931 ,PRJNA185972,"Proteobacteria","Gammaproteobacteria",GCA_000401735.1 ,5.00477,65.0123,chromosome:NZ_CM001871.1/CM001871.1; plasmid unnamed-p1:NZ_CM001872.1/CM001872.1; plasmid unnamed-p2:NZ_CM001873.1/CM001873.1; plasmid unnamed-p3:NZ_CM001874.1/CM001874.1; plasmid unnamed-p4:NZ_CM001875.1/CM001875.1; plasmid unnamed-p5:NZ_CM001876.1/CM001876.1; plasmid unnamed-p6:NZ_CM001877.1/CM001877.1; plasmid unnamed-p7:NZ_CM001878.1/CM001878.1,AQOP01,18,4226,4046,2013/05/28,2015/08/24,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000401735.1_20120413,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000401735.1_20120413
"Lactococcus lactis subsp. lactis IO-1","IO-1",20131,-,PRJDA68077,"Firmicutes","Bacilli",GCA_000344575.1 ,2.42147,35.1,chromosome:NC_020450.1/AP012281.1,-,1,2342,2230,2012/02/04,2015/08/18,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000344575.1_ASM34457v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000344575.1_ASM34457v1
"Listeria monocytogenes J0161","J0161",20017,SAMN00769971 ,PRJNA17493,"Firmicutes","Bacilli",GCA_000168635.2 ,3.00046,37.9,chromosome:NC_017545.1/CP002001.1,-,1,3017,2933,2011/09/07,2015/08/13,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000168635.2_ASM16863v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000168635.2_ASM16863v2
"Bacillus cereus G9842","G9842",22045,SAMN02604060 ,PRJNA17733,"Firmicutes","Bacilli",GCA_000021305.1 ,5.73682,35.0479,chromosome:NC_011772.1/CP001186.1; plasmid pG9842_140:NC_011774.1/CP001188.1; plasmid pG9842_209:NC_011775.1/CP001187.1,-,3,5777,5544,2008/12/19,2015/07/30,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000021305.1_ASM2130v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000021305.1_ASM2130v1
"Mycobacterium avium subsp. paratuberculosis","E1",20831,SAMN03252100 ,PRJNA269152,"Actinobacteria","Actinobacteria",GCA_000835225.1 ,4.781,69.3,chromosome:NZ_CP010113.1/CP010113.1,-,1,4446,4153,2015/02/10,2015/08/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000835225.1_ASM83522v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000835225.1_ASM83522v1
"Mycobacterium bovis BCG","3281",20829,SAMN02864173 ,PRJNA251957,"Actinobacteria","Actinobacteria",GCA_001043255.1 ,4.41043,65.6,chromosome:NZ_CP008744.1/CP008744.1,-,1,4107,3992,2015/06/30,2015/08/21,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001043255.1_ASM104325v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_001043255.1_ASM104325v1
"Mycobacterium tuberculosis W-148","W-148",20829,SAMN02595346 ,PRJNA39283,"Actinobacteria","Actinobacteria",GCA_000193185.2 ,4.41855,65.6,chromosome:NZ_CP012090.1/CP012090.1,-,1,4133,4025,2015/08/19,2015/09/20,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000193185.2_ASM19318v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000193185.2_ASM19318v2
"Escherichia coli str. K-12 substr. W3110","K-12 substr. W3110",19668,-,PRJNA16351,"Proteobacteria","Gammaproteobacteria",GCA_000010245.1 ,4.64633,50.8,chromosome:NC_007779.1/AP009048.1,-,1,4591,4410,2006/01/21,2015/08/17,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000010245.2_ASM1024v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000010245.1_ASM1024v1
"Streptococcus pneumoniae G54","G54",20104,SAMN02603350 ,PRJNA29047,"Firmicutes","Bacilli",GCA_000019825.1 ,2.07895,39.7,chromosome:NC_011072.1/CP001015.1,-,1,2182,2007,2008/07/22,2015/07/30,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000019825.1_ASM1982v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000019825.1_ASM1982v1
"Helicobacter pylori B38","B38",19252,SAMEA3138296 ,PRJNA39685,"Proteobacteria","delta/epsilon subdivisions",GCA_000091345.1 ,1.57676,39.2,chromosome:NC_012973.1/FM991728.1,-,1,1545,1432,2009/07/15,2015/07/30,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000091345.1_ASM9134v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000091345.1_ASM9134v1
"Neisseria meningitidis H44/76","H44/76",19400,SAMN02604200 ,PRJNA61079,"Proteobacteria","Betaproteobacteria",GCA_000191445.1 ,2.24088,51.4,chromosome:NC_017516.1/CP002420.1,-,1,2307,2157,2011/03/04,2015/08/12,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000191445.1_ASM19144v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000191445.1_ASM19144v1
"Haemophilus influenzae KR494","KR494",19710,SAMN02603575 ,PRJNA203127,"Proteobacteria","Gammaproteobacteria",GCA_000465255.1 ,1.85618,38.1,chromosome:NC_022356.1/CP005967.1,-,1,1789,1646,2013/09/09,2015/08/15,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000465255.1_ASM46525v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000465255.1_ASM46525v1
"Prochlorococcus marinus str. MIT 9215","MIT 9215",34967,SAMN02598410 ,PRJNA18633,"Cyanobacteria","Prochlorales",GCA_000018065.1 ,1.73879,31.1,chromosome:NC_009840.1/CP000825.1,-,1,1899,1840,2007/09/20,2015/07/30,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000018065.1_ASM1806v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000018065.1_ASM1806v1
"Buchnera aphidicola str. Tuc7 (Acyrthosiphon pisum)","Tuc7",19573,SAMN02604133 ,PRJNA31223,"Proteobacteria","Gammaproteobacteria",GCA_000021065.1 ,0.641895,26.3,chromosome:NC_011834.1/CP001158.1,-,1,617,577,2009/01/06,2015/07/30,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000021065.1_ASM2106v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000021065.1_ASM2106v1
"Pseudomonas putida HB3267","PC9",19542,SAMN02604102 ,PRJNA171349,"Proteobacteria","Gammaproteobacteria",GCA_000325725.1 ,5.95611,62.5649,chromosome:NC_019905.1/CP003738.1; plasmid pPC9:NC_019906.1/CP003739.1,-,2,5430,5281,2012/12/19,2015/08/18,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000325725.1_ASM32572v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000325725.1_ASM32572v1
"Streptococcus pyogenes MGAS9429","MGAS9429",20126,SAMN02603501 ,PRJNA16363,"Firmicutes","Bacilli",GCA_000013485.1 ,1.83647,38.5,chromosome:NC_008021.1/CP000259.1,-,1,1801,1683,2006/05/04,2015/08/20,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000013485.1_ASM1348v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000013485.1_ASM1348v1
"Fusobacterium nucleatum subsp. polymorphum ATCC 10953","ATCC 10953",35123,SAMN02469324 ,PRJNA17261,"Fusobacteria","Fusobacteriia",GCA_000153625.1 ,2.44163,26.7888,chromosome:NZ_CM000440.1/CM000440.1; plasmid pFN3:NC_009506.1/CP000710.1,AARG01,2,2355,2245,2006/07/12,2015/08/18,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000153625.3_ASM15362v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000153625.1_ASM15362v1
"Pseudomonas aeruginosa DK2","DK2",19537,SAMN02603895 ,PRJNA73815,"Proteobacteria","Gammaproteobacteria",GCA_000271365.1 ,6.40266,66.3,chromosome:NC_018080.1/CP003149.1,-,1,5919,5788,2012/06/20,2015/08/14,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000271365.1_ASM27136v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000271365.1_ASM27136v1
"Streptococcus agalactiae","NGBS572",20122,SAMN02741688 ,PRJNA246096,"Firmicutes","Bacilli",GCA_000730255.1 ,2.06143,35.5,chromosome:NZ_CP007632.1/CP007632.1,-,1,2066,1937,2014/07/17,2015/08/16,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000730255.1_ASM73025v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000730255.1_ASM73025v1
"Bacillus anthracis str. SVA11","SVA11",20021,SAMN03081486 ,PRJNA217316,"Firmicutes","Bacilli",GCA_000583105.1 ,5.48752,35.2625,chromosome:NZ_CP006742.1/CP006742.1; plasmid pXO1:NZ_CP006743.1/CP006743.1; plasmid pXO2:NZ_CP006744.1/CP006744.1,-,3,5822,5472,2014/02/28,2015/07/31,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000583105.1_ASM58310v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000583105.1_ASM58310v1
"Shigella flexneri 5a str. M90T","M90T",19668,SAMN02469698 ,PRJNA73131,"Proteobacteria","Gammaproteobacteria",GCA_000252895.1 ,4.58087,50.9,chromosome:NZ_CM001474.1/CM001474.1,AGNM01,1,4909,4358,2012/03/15,2015/08/02,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000252895.1_ASM25289v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000252895.1_ASM25289v1
"Pseudomonas syringae pv. actinidiae ICMP 9617","ICMP 9617",19543,SAMN02740942 ,PRJNA167426,"Proteobacteria","Gammaproteobacteria",GCA_000658965.1 ,6.4977,57.982,chromosome Chr:NZ_CM002753.1/CM002753.1; plasmid unnamed:NZ_CM002754.1/CM002754.1,AOKP01,2,5299,5074,2014/04/30,2015/08/07,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000658965.1_ASM65896v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000658965.1_ASM65896v1
"Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088","JCM 1222",20777,-,PRJDA32049,"Actinobacteria","Actinobacteria",GCA_000269965.1 ,2.82896,59.9,chromosome:NC_017219.1/AP010889.1,-,1,2588,2425,2011/01/29,2015/07/30,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000269965.1_ASM26996v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000269965.1_ASM26996v1
"Chlamydia pneumoniae","",20510,SAMEA3212835 ,PRJEB8246,"Chlamydiae/Verrucomicrobia group","Chlamydiae",GCA_001007085.1 ,1.22858,40.6,chromosome 1:NZ_LN847257.1/LN847257.1,-,1,1111,1060,2015/05/09,2015/08/20,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001007085.1_Wien3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_001007085.1_Wien3
"Streptococcus suis D9","D9",20103,SAMN02603321 ,PRJNA65435,"Firmicutes","Bacilli",GCA_000231885.1 ,2.17766,41,chromosome:NC_017620.1/CP002641.1,-,1,2130,1951,2011/10/25,2015/07/30,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000231885.1_ASM23188v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000231885.1_ASM23188v1
"Acinetobacter baumannii TYTH-1","TYTH-1",19507,SAMN02603667 ,PRJNA74551,"Proteobacteria","Gammaproteobacteria",GCA_000302575.1 ,3.95737,39,chromosome:NC_018706.1/CP003856.1,-,1,3754,3628,2012/10/03,2015/08/14,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000302575.1_ASM30257v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000302575.1_ASM30257v1
"Legionella pneumophila subsp. pneumophila","HL06041035",19355,SAMEA3138424 ,PRJNA67919,"Proteobacteria","Gammaproteobacteria",GCA_000306845.1 ,3.49254,38.4,chromosome:NC_018140.1/FQ958211.1,-,1,3111,3008,2012/07/11,2015/08/14,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000306845.1_ASM30684v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000306845.1_ASM30684v1
"Burkholderia pseudomallei NCTC 13178","NCTC 13178",19460,SAMN02641521 ,PRJNA178668,"Proteobacteria","Betaproteobacteria",GCA_000511895.1 ,7.39136,67.9365,chromosome I:NZ_CP004001.1/CP004001.1; chromosome II:NZ_CP004002.1/CP004002.1,-,2,6374,6191,2013/12/26,2015/08/15,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000511895.1_ASM51189v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000511895.1_ASM51189v1
"Streptococcus thermophilus","SMQ-301",23574,SAMN02850632 ,PRJNA251645,"Firmicutes","Bacilli",GCA_000971665.1 ,1.86179,39.1,chromosome:NZ_CP011217.1/CP011217.1,-,1,1951,1734,2015/04/13,2015/08/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000971665.1_ASM97166v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000971665.1_ASM97166v1
"Chlamydia trachomatis G/9768","G/9768",20504,SAMN02603693 ,PRJNA43145,"Chlamydiae/Verrucomicrobia group","Chlamydiae",GCA_000092685.1 ,1.04281,41.3,chromosome:NC_017429.1/CP001887.1,-,1,953,903,2010/05/21,2015/08/12,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000092685.1_ASM9268v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000092685.1_ASM9268v1
"Corynebacterium glutamicum","B253",20792,SAMN03273898 ,PRJNA271130,"Actinobacteria","Actinobacteria",GCA_000828015.1 ,3.22931,54.2777,chromosome:NZ_CP010451.1/CP010451.1; plasmid unnamed:NZ_CP010452.1/CP010452.1,-,2,2985,2795,2015/01/20,2015/08/26,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000828015.1_ASM82801v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000828015.1_ASM82801v1
"Burkholderia mallei","2000031063",19460,SAMN02849482 ,PRJNA244043,"Proteobacteria","Betaproteobacteria",GCA_000756025.2 ,5.87493,68.5161,chromosome 1:NZ_CP008732.1/CP008732.2; chromosome 2:NZ_CP008731.1/CP008731.2,-,2,5199,4953,2014/09/18,2015/08/17,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000756025.1_ASM75602v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000756025.2_ASM75602v2
"Vibrio cholerae H1","H1",19639,SAMN02470784 ,PRJNA73829,"Proteobacteria","Gammaproteobacteria",GCA_000275645.1 ,4.08902,47.5207,chromosome 1:NZ_AKGH01000001.1/AKGH01000001.1; chromosome 2:NZ_AKGH01000002.1/AKGH01000002.1,AKGH01,2,3798,3660,2012/06/29,2015/08/09,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000275645.1_ASM27564v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000275645.1_ASM27564v1
"Bacillus thuringiensis Bt407","",22045,SAMN02603279 ,PRJNA176850,"Firmicutes","Bacilli",GCA_000306745.1 ,6.13434,35.0166,chromosome:NC_018877.1/CP003889.1; plasmid BTB_15p:NC_018880.1/CP003892.1; plasmid BTB_2p:NC_018885.1/CP003897.1; plasmid BTB_502p:NC_018878.1/CP003890.1; plasmid BTB_5p:NC_018884.1/CP003896.1; plasmid BTB_6p:NC_018883.1/CP003895.1; plasmid BTB_78p:NC_018879.1/CP003891.1; plasmid BTB_7p:NC_018882.1/CP003894.1; plasmid BTB_8p:NC_018881.1/CP003893.1; plasmid BTB_9p:NC_018886.1/CP003898.1,-,10,6442,6184,2012/10/18,2015/07/31,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000306745.1_ASM30674v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000306745.1_ASM30674v1
"Ralstonia solanacearum Rs-09-161","Rs-09-161",19472,SAMN02444146 ,PRJNA217471,"Proteobacteria","Betaproteobacteria",GCA_000671335.1 ,5.75792,66.6865,chromosome:NZ_CM002757.1/CM002757.1; plasmid unnamed1 :NZ_CM002758.1/CM002758.1,JHBO01,75,4931,4680,2014/04/21,2015/07/31,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000671335.1_RALSO161-G1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000671335.1_RALSO161-G1
"Francisella tularensis subsp. mediasiatica FSC147","FSC147; GIEM 543",19493,SAMN02604345 ,PRJNA19571,"Proteobacteria","Gammaproteobacteria",GCA_000018925.1 ,1.89389,32.3,chromosome:NC_010677.1/CP000915.1,-,1,1980,1659,2008/05/07,2015/07/30,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000018925.1_ASM1892v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000018925.1_ASM1892v1
"Brucella abortus bv. 6 str. 870","870",19921,SAMN02770262 ,PRJNA244260,"Proteobacteria","Alphaproteobacteria",GCA_000740215.1 ,3.28115,57.2353,chromosome 1:NZ_CP007709.1/CP007709.1; chromosome 2:NZ_CP007710.1/CP007710.1,-,2,3163,3050,2014/08/15,2015/08/16,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000740215.1_ASM74021v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000740215.1_ASM74021v1
"Yersinia pseudotuberculosis","EP2/+",19684,SAMN03140184 ,PRJNA239350,"Proteobacteria","Gammaproteobacteria",GCA_000834415.1 ,4.77456,47.4599,chromosome:NZ_CP009759.1/CP009759.1; plasmid pCD:NZ_CP009758.1/CP009758.1,-,2,4298,4095,2015/02/09,2015/08/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000834415.1_ASM83441v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000834415.1_ASM83441v1
"Xanthomonas citri subsp. citri","MN10",19487,SAMN02911841 ,PRJNA255042,"Proteobacteria","Gammaproteobacteria",GCA_000961255.1 ,5.22227,64.7386,chromosome:NZ_CP009004.1/CP009004.1; plasmid pXAC33:NZ_CP009002.1/CP009002.1; plasmid pXAC64:NZ_CP009003.1/CP009003.1,-,3,4473,4292,2015/03/24,2015/08/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000961255.1_ASM96125v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000961255.1_ASM96125v1
"Peptoclostridium difficile QCD-63q42","",20175,SAMN02470541 ,PRJNA21103,"Firmicutes","Clostridia",GCA_000154625.1 ,4.44374,28.6575,chromosome:NZ_CM000637.1/CM000637.1,ABHD02,28,4152,4012,2007/11/05,2015/08/12,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000154625.1_ASM15462v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000154625.1_ASM15462v1
"Xanthomonas oryzae pv. oryzicola","B8-12",22137,SAMN03612256 ,PRJNA280380,"Proteobacteria","Gammaproteobacteria",GCA_001042745.1 ,4.79432,64.1,chromosome:NZ_CP011955.1/CP011955.1,-,1,4152,3749,2015/06/30,2015/08/21,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001042745.1_ASM104274v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_001042745.1_ASM104274v1
"Lactobacillus casei subsp. casei ATCC 393","ATCC 393",20097,-,PRJDB480,"Firmicutes","Bacilli",GCA_000829055.1 ,2.95296,47.8636,chromosome:NZ_AP012544.1/AP012544.1; plasmid pLBCZ-1:NZ_AP012545.1/AP012545.1; plasmid pLBCZ-2:NZ_AP012546.1/AP012546.1,-,3,2839,2600,2013/08/15,2015/08/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000829055.1_ASM82905v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000829055.1_ASM82905v1
"Bacillus subtilis XF-1","XF-1",23560,SAMN02602961 ,PRJNA175410,"Firmicutes","Bacilli",GCA_000338735.1 ,4.06119,43.9,chromosome:NC_020244.1/CP004019.1,-,1,4023,3855,2013/02/08,2015/08/14,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000338735.1_ASM33873v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000338735.1_ASM33873v1
"Rickettsia rickettsii str. Morgan","Morgan",21093,SAMN03324096 ,PRJNA205204,"Proteobacteria","Alphaproteobacteria",GCA_000831545.1 ,1.26981,32.5,chromosome:NZ_CP006010.1/CP006010.1,-,1,1350,1219,2015/02/03,2015/08/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000831545.1_ASM83154v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000831545.1_ASM83154v1
"Sulfolobus islandicus M.16.2","M.16.2",20374,SAMN02471813 ,PRJNA80889,"Crenarchaeota","Thermoprotei",GCA_000245095.2 ,2.64525,35,chromosome:NZ_AHJK01000001.1/AHJK01000001.1,AHJK01,1,2834,2579,2012/01/25,2015/08/15,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000245095.1_ASM24509v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000245095.2_ASM24509v2
